Title,Title_URL,Image,Tag_URL,Tag,jsteaserstandfirstlink,jsteaserstandfirstlink1,Time
NHS watchdog blocks AstraZeneca breast cancer drug,https://www.ft.com/content/d831c865-ae82-40f3-86a3-de43b53d25f0,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F04e2babf-2610-495b-92a2-c7dd78a070fd.jpg?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/disease-control-prevention,Disease control and prevention,"...Costs of the drug are covered in 17 countries across Europe, according to AstraZeneca....",AstraZeneca,"JULY 29, 2024"
AstraZeneca calls on UK to change rules on innovative drug pricing,https://www.ft.com/content/466a4d1d-e559-4695-ba77-92364c6b3447,https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fd4789915-cc5c-4d20-ada4-852aef0b9986.jpg?source=next&fit=scale-down&dpr=2&width=240,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...Sales of AstraZeneca’s cancer medicines, which make up 41 per cent of total sales, grew 22 per cent....",AstraZeneca’s,"JULY 25, 2024"
"GSK, Pfizer and Moderna face RSV vaccine sales slump",https://www.ft.com/content/8c21c662-b5c7-401a-b880-17905e15e2a5,,https://www.ft.com/pharmaceuticals,Pharmaceuticals sector,"...Infants can receive Beyfortus, an antibody treatment developed by AstraZeneca and Sanofi....",AstraZeneca,"JULY 24, 2024"
The club of City executives plotting a revival for the UK’s capital markets,https://www.ft.com/content/557d71f5-c3c1-4e9f-b4e5-c5d4e36d73e0,,https://www.ft.com/content/bd843235-bf49-4910-85e2-e027d9f8155a,Rebooting Britain’s capital markets,...“They’re creating an unbalanced debate where good corporate governance is pitted against a thriving UK plc.”...,plc,"JUNE 24, 2024"
Tesco boss says he is ‘well paid’ as investors back £10mn package,https://www.ft.com/content/599326d2-b7d6-432e-9a73-c78f07aad582,,https://www.ft.com/stream/c5d45126-9952-466f-91fe-3525deb78b2d,Tesco PLC,"...FTSE boards have come under pressure to raise chief executive remuneration in order to compete with their transatlantic rivals, with shareholders at companies including AstraZeneca recently voting through...",AstraZeneca,"JUNE 14, 2024"
AstraZeneca’s next big target can cement its sector darling status,https://www.ft.com/content/9b2238eb-0a5b-4315-bc57-c4f74ce1ce37,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca reckons successful medicines from these trials could generate $20bn in revenue by 2030....,AstraZeneca,"JUNE 10, 2024"
BHP-Anglo: when ‘final’ no longer means final,https://www.ft.com/content/4a2dd050-bca5-4d14-89b9-46fe9c9a8c8e,,https://www.ft.com/due-diligence,Due Diligence,"...(Famously, then Pfizer boss Ian Read botched his £70bn pursuit of AstraZeneca in 2014 when he didn’t realise that final really meant final under the UK code....",AstraZeneca,"MAY 23, 2024"
AstraZeneca to build Chinese supply chain as US-Sino tensions increase,https://www.ft.com/content/e54ac617-9869-4ba2-8933-8cc91942044e,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...The comments came as AstraZeneca announced plans to almost double revenue to $80bn by 2030....,AstraZeneca,"MAY 21, 2024"
AstraZeneca to build $1.5bn manufacturing site in Singapore,https://www.ft.com/content/fe6f6155-46ce-4153-88da-1c3ccdf89bd2,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,...AstraZeneca said on Monday that the move was supported by Singapore’s Economic Development Board but neither AstraZeneca nor the EDB disclosed what incentives it would receive from the Singaporean government...,AstraZeneca,"MAY 20, 2024"
AstraZeneca withdraws Covid-19 vaccine,https://www.ft.com/content/c1b391c0-bdc7-4b93-884a-8ec4866a7272,,https://www.ft.com/stream/e800f5e3-f118-4859-90a1-6e5c1cc969f0,AstraZeneca PLC,"...AstraZeneca signed its first for-profit deals in late 2021, as the company said the pandemic had moved into an “endemic phase”....",AstraZeneca,"MAY 8, 2024"
